id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193364|2022-07-30T06:32:26.621592|admins|через телефон|2|0
193363|2022-07-30T06:28:11.364048|-|через телефон|5|0
193362|2022-07-30T06:20:16.826847|admins|через телефон|1|0
193361|2022-07-30T06:13:38.323936|admins|через телефон|0|0
193360|2022-07-30T06:05:21.549137|admins|через телефон|2|0
193359|2022-07-30T06:03:41.621981|admins|через телефон|0|0
193358|2022-07-30T05:48:57.703970|ios|через телефон|1|0
193357|2022-07-30T05:43:45.209701|admins|через телефон|1|0
193356|2022-07-30T05:40:02.512498|admins|через телефон|5|0
193355|2022-07-30T05:39:16.432296|admins|через телефон|2|0
193354|2022-07-30T05:36:29.840092|admins|через телефон|4|0
193353|2022-07-30T05:35:33.386430|admins|через телефон|1|0
193352|2022-07-30T05:33:00.099267|admins|через телефон|1|0
193351|2022-07-30T05:30:08.521358|admins|через телефон|2|0
193350|2022-07-30T05:27:58.649837|admins|через телефон|2|0
193349|2022-07-30T05:25:54.729046|admins|через телефон|3|0
193348|2022-07-30T05:23:35.624834|admins|через телефон|0|0
193347|2022-07-30T05:20:19.878555|admins|через телефон|5|0
193346|2022-07-30T05:18:44.667714|admins|через телефон|4|0
193345|2022-07-30T05:16:43.182642|admins|через телефон|3|0
193344|2022-07-30T05:16:35.802705|admins|через телефон|0|0
193343|2022-07-30T05:13:24.883561|admins|через телефон|2|0
193342|2022-07-30T05:13:23.341149|admins|через телефон|5|0
193341|2022-07-30T05:11:28.421151|admins|через телефон|0|0
193340|2022-07-30T05:09:50.063556|admins|через телефон|5|0
193339|2022-07-30T05:07:44.909557|admins|через телефон|2|0
193338|2022-07-30T05:04:13.886427|admins|через телефон|5|0
193337|2022-07-30T05:03:40.891784|admins|через телефон|5|0
193336|2022-07-30T04:57:37.939168|android|через телефон|4|1
193335|2022-07-30T04:57:09.953029|admins|через телефон|0|0
193334|2022-07-30T04:53:52.482838|android|через телефон|1|0
193333|2022-07-30T04:36:43.379925|admins|через телефон|5|0
193332|2022-07-30T04:29:24.841508|admins|через телефон|3|0
193331|2022-07-30T04:24:43.524448|admins|через телефон|0|0
193330|2022-07-30T04:22:32.073504|admins|через телефон|0|0
193329|2022-07-30T04:22:27.507166|admins|через телефон|2|0
193328|2022-07-30T04:21:18.041196|admins|через телефон|4|0
193327|2022-07-30T04:19:52.339443|admins|через телефон|1|0
193326|2022-07-30T04:09:42.450859|admins|через телефон|2|0
193325|2022-07-30T04:07:12.031901|admins|через телефон|4|0
